honorific_title,first_name,last_name,gender,username,profile_URL,account_status,political_affiliation,constituency,province_territory
,Marie-Hélène,Gaudreau,Woman,,,,Bloc Québécois,Laurentides—Labelle,Quebec
,Leah,Gazan,Woman,leahgazan.bsky.social,https://bsky.app/profile/leahgazan.bsky.social,Active,NDP,Winnipeg Centre,Manitoba
,Bernard,Généreux,Man,,,,Conservative,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Quebec
,Garnett,Genuis,Man,,,,Conservative,Sherwood Park—Fort Saskatchewan,Alberta
,Mark,Gerretsen,Man,markgerretsen.bsky.social,https://bsky.app/profile/markgerretsen.bsky.social,Active,Liberal,Kingston and the Islands,Ontario
,Marilène,Gill,Woman,marilenegill.bsky.social,https://bsky.app/profile/marilenegill.bsky.social,Inactive,Bloc Québécois,Manicouagan,Quebec
,Marilyn,Gladu,Woman,,,,Conservative,Sarnia—Lambton,Ontario
,Joël,Godin,Man,,,,Conservative,Portneuf—Jacques-Cartier,Quebec
,Laila,Goodridge,Woman,,,,Conservative,Fort McMurray—Cold Lake,Alberta
Hon.,Karina,Gould,Woman,karinagould.bsky.social,https://bsky.app/profile/karinagould.bsky.social,Active,Liberal,Burlington,Ontario
,Jacques,Gourde,Man,,,,Conservative,Lévis—Lotbinière,Quebec
,Tracy,Gray,Woman,,,,Conservative,Kelowna—Lake Country,British Columbia
,Matthew,Green,Man,matthewgreen.bsky.social,https://bsky.app/profile/matthewgreen.bsky.social,Active,NDP,Hamilton Centre,Ontario
Hon.,Steven,Guilbeault,Man,stevenguilbeault.bsky.social,https://bsky.app/profile/stevenguilbeault.bsky.social,Active,Liberal,Laurier—Sainte-Marie,Quebec
Hon.,Patty,Hajdu,Woman,pattyhajdu.bsky.social,https://bsky.app/profile/pattyhajdu.bsky.social,Active,Liberal,Thunder Bay—Superior North,Ontario
,Jasraj Singh,Hallan,Man,,,,Conservative,Calgary Forest Lawn,Alberta
,Brendan,Hanley,Man,drbrendanhanley.bsky.social,https://bsky.app/profile/drbrendanhanley.bsky.social,Active,Liberal,Yukon,Yukon
,Ken,Hardie,Man,kenhardie.bsky.social,https://bsky.app/profile/kenhardie.bsky.social,Active,Liberal,Fleetwood—Port Kells,British Columbia
,Lisa,Hepfner,Woman,lisahepfner.bsky.social,https://bsky.app/profile/lisahepfner.bsky.social,Active,Liberal,Hamilton Mountain,Ontario
,Randy,Hoback,Man,,,,Conservative,Prince Albert,Saskatchewan
Hon.,Mark,Holland,Man,markhollandlib.bsky.social,https://bsky.app/profile/markhollandlib.bsky.social,Active,Liberal,Ajax,Ontario
,Anthony,Housefather,Man,,,,Liberal,Mount Royal,Quebec
,Carol,Hughes,Woman,,,,NDP,Algoma—Manitoulin—Kapuskasing,Ontario
Hon.,Ahmed,Hussen,Man,,,,Liberal,York South—Weston,Ontario
Hon.,Gudie,Hutchings,Woman,gudiehutchings.bsky.social,https://bsky.app/profile/gudiehutchings.bsky.social,Inactive,Liberal,Long Range Mountains,Newfoundland and Labrador
,Angelo,Iacono,Man,aiaconomp.bsky.social,https://bsky.app/profile/aiaconomp.bsky.social,Active,Liberal,Alfred-Pellan,Quebec
,Lori,Idlout,Woman,loriidlout.bsky.social,https://bsky.app/profile/loriidlout.bsky.social,Active,NDP,Nunavut,Nunavut
Hon.,Marci,Ien,Woman,,,,Liberal,Toronto Centre,Ontario
Hon.,Helena,Jaczek,Woman,,,,Liberal,Markham—Stouffville,Ontario
,Matt,Jeneroux,Man,mattjeneroux.bsky.social,https://bsky.app/profile/mattjeneroux.bsky.social,Inactive,Conservative,Edmonton Riverbend,Alberta
,Jamil,Jivani,Man,,,,Conservative,Durham,Ontario
,Gord,Johns,Man,gordjohns.bsky.social,https://bsky.app/profile/gordjohns.bsky.social,Active,NDP,Courtenay—Alberni,British Columbia
Hon.,Mélanie,Joly,Woman,melaniejolycan.bsky.social,https://bsky.app/profile/melaniejolycan.bsky.social,Active,Liberal,Ahuntsic-Cartierville,Quebec
,Yvonne,Jones,Woman,,,,Liberal,Labrador,Newfoundland and Labrador
,Majid,Jowhari,Man,,,,Liberal,Richmond Hill,Ontario
,Peter,Julian,Man,mpjulian.bsky.social,https://bsky.app/profile/mpjulian.bsky.social,Active,NDP,New Westminster—Burnaby,British Columbia
,Arielle,Kayabaga,Woman,kayabagaarielle.bsky.social,https://bsky.app/profile/kayabagaarielle.bsky.social,Active,Liberal,London West,Ontario
,Mike,Kelloway,Man,,,,Liberal,Cape Breton—Canso,Nova Scotia
,Pat,Kelly,Man,,,,Conservative,Calgary Rocky Ridge,Alberta
,Iqra,Khalid,Woman,iqrakhalidmp.bsky.social,https://bsky.app/profile/iqrakhalidmp.bsky.social,Active,Liberal,Mississauga—Erin Mills,Ontario
,Arpan,Khanna,Man,,,,Conservative,Oxford,Ontario
Hon.,Kamal,Khera,Woman,kamalkheralib.bsky.social,https://bsky.app/profile/kamalkheralib.bsky.social,Active,Liberal,Brampton West,Ontario
,Robert,Kitchen,Man,,,,Conservative,Souris—Moose Mountain,Saskatchewan
,Tom,Kmiec,Man,,,,Conservative,Calgary Shepard,Alberta
,Annie,Koutrakis,Woman,,,,Liberal,Vimy,Quebec
,Michael,Kram,Man,,,,Conservative,Regina—Wascana,Saskatchewan
,Shelby,Kramp-Neuman,Woman,,,,Conservative,Hastings—Lennox and Addington,Ontario
,Damien,Kurek,Man,,,,Conservative,Battle River—Crowfoot,Alberta
,Stephanie,Kusie,Woman,,,,Conservative,Calgary Midnapore,Alberta
,Irek,Kusmierczyk,Man,,,,Liberal,Windsor—Tecumseh,Ontario
,Jenny,Kwan,Woman,jennykwan.bsky.social,https://bsky.app/profile/jennykwan.bsky.social,Active,NDP,Vancouver East,British Columbia
Hon.,Mike,Lake,Man,,,,Conservative,Edmonton—Wetaskiwin,Alberta
,Marie-France,Lalonde,Woman,mflalonde.bsky.social,https://bsky.app/profile/mflalonde.bsky.social,Active,Liberal,Orléans,Ontario
,Emmanuella,Lambropoulos,Woman,,,,Liberal,Saint-Laurent,Quebec
,Kevin,Lamoureux,Man,,,,Liberal,Winnipeg North,Manitoba
,Melissa,Lantsman,Woman,,,,Conservative,Thornhill,Ontario
,Viviane,Lapointe,Woman,vivianelapointe.bsky.social,https://bsky.app/profile/vivianelapointe.bsky.social,Active,Liberal,Sudbury,Ontario
,Andréanne,Larouche,Woman,andreannelarouche.bsky.social,https://bsky.app/profile/andreannelarouche.bsky.social,Active,Bloc Québécois,Shefford,Quebec
,Patricia,Lattanzio,Woman,,,,Liberal,Saint-Léonard—Saint-Michel,Quebec
,Stéphane,Lauzon,Man,,,,Liberal,Argenteuil—La Petite-Nation,Quebec
,Philip,Lawrence,Man,,,,Conservative,Northumberland—Peterborough South,Ontario
Hon.,Dominic,LeBlanc,Man,dleblancnb.bsky.social,https://bsky.app/profile/dleblancnb.bsky.social,Inactive,Liberal,Beauséjour,New Brunswick
Hon.,Diane,Lebouthillier,Woman,dianelebouthillier.bsky.social,https://bsky.app/profile/dianelebouthillier.bsky.social,Inactive,Liberal,Gaspésie—Les Îles-de-la-Madeleine,Quebec
,Richard,Lehoux,Man,,,,Conservative,Beauce,Quebec
,Sébastien,Lemire,Man,seblemire.bsky.social,https://bsky.app/profile/seblemire.bsky.social,Active,Bloc Québécois,Abitibi—Témiscamingue,Quebec
,Branden,Leslie,Man,,,,Conservative,Portage—Lisgar,Manitoba
,Chris,Lewis,Man,,,,Conservative,Essex,Ontario
,Leslyn,Lewis,Woman,,,,Conservative,Haldimand—Norfolk,Ontario
,Ron,Liepert,Man,,,,Conservative,Calgary Signal Hill,Alberta
,Joël,Lightbound,Man,,,,Liberal,Louis-Hébert,Quebec
,Dane,Lloyd,Man,,,,Conservative,Sturgeon River—Parkland,Alberta
,Ben,Lobb,Man,,,,Conservative,Huron—Bruce,Ontario
,Wayne,Long,Man,waynelongsj.bsky.social,https://bsky.app/profile/waynelongsj.bsky.social,Active,Liberal,Saint John—Rothesay,New Brunswick
,Lloyd,Longfield,Man,lloydlongfield.bsky.social,https://bsky.app/profile/lloydlongfield.bsky.social,Active,Liberal,Guelph,Ontario
,Tim,Louis,Man,timlouiskitcon.bsky.social,https://bsky.app/profile/timlouiskitcon.bsky.social,Active,Liberal,Kitchener—Conestoga,Ontario
Hon.,Lawrence,MacAulay,Man,,,,Liberal,Cardigan,Prince Edward Island
,Heath,MacDonald,Man,,,,Liberal,Malpeque,Prince Edward Island
,Alistair,MacGregor,Man,alistairmacgregor.bsky.social,https://bsky.app/profile/alistairmacgregor.bsky.social ,Active,NDP,Cowichan—Malahat—Langford,British Columbia
Hon.,Steven,MacKinnon,Man,stevenmackinnon.bsky.social,https://bsky.app/profile/stevenmackinnon.bsky.social,Inactive,Liberal,Gatineau,Quebec
,Larry,Maguire,Man,,,,Conservative,Brandon—Souris,Manitoba
,Shuvaloy,Majumdar,Man,,,,Conservative,Calgary Heritage,Alberta
,James,Maloney,Man,maloneyj.bsky.social,https://bsky.app/profile/maloneyj.bsky.social,Active,Liberal,Etobicoke—Lakeshore,Ontario
,Richard,Martel,Man,,,,Conservative,Chicoutimi—Le Fjord,Quebec
Hon.,Soraya,Martinez Ferrada,Woman,,,,Liberal,Hochelaga,Quebec
,Brian,Masse,Man,brianmassemp.bsky.social,https://bsky.app/profile/brianmassemp.bsky.social,Active,NDP,Windsor West,Ontario
