honorific_title,name,constituency,province_territory,political_affiliation,username,profile_URL,verified
,Bienvenu-Olivier Ntumba,Mont-Saint-Bruno‚ÄîL'Acadie,Quebec,Liberal,olivierntumba.bsky.social,https://bsky.app/profile/olivierntumba.bsky.social,No
,Dominique O'Rourke,Guelph,Ontario,Liberal,orourkeguelph.bsky.social,https://bsky.app/profile/orourkeguelph.bsky.social,No
Hon.,Robert Oliphant,Don Valley West,Ontario,Liberal,roboliphant.bsky.social,https://bsky.app/profile/roboliphant.bsky.social,No
Hon.,Eleanor Olszewski,Edmonton Centre,Alberta,Liberal,eleanorolszewski.bsky.social,https://bsky.app/profile/eleanorolszewski.bsky.social,No
,Tom Osborne,Cape Spear,Newfoundland and Labrador,Liberal,tomosborneca.bsky.social,https://bsky.app/profile/tomosborneca.bsky.social,No
Hon.,Ginette Petitpas Taylor,Moncton‚ÄîDieppe,New Brunswick,Liberal,ginettept.bsky.social,https://bsky.app/profile/ginettept.bsky.social,No
Hon.,Nathalie Provost,Ch√¢teauguay‚ÄîLes Jardins-de-Napierville,Quebec,Liberal,nathalieprovost.bsky.social,https://bsky.app/profile/nathalieprovost.bsky.social,No
,Aslam Rana,Hamilton Centre,Ontario,Liberal,aslamrana.bsky.social,https://bsky.app/profile/aslamrana.bsky.social,No
Hon.,Michelle Rempel Garner,Calgary Nose Hill,Alberta,Conservative,michellegarner.bsky.social,https://bsky.app/profile/michellegarner.bsky.social,No
Hon.,Gregor Robertson,Vancouver Fraserview‚ÄîSouth Burnaby,British Columbia,Liberal,gregorrobertson.bsky.social,https://bsky.app/profile/gregorrobertson.bsky.social,No
,Sherry Romanado,Longueuil‚ÄîCharles-LeMoyne,Quebec,Liberal,sherryromanado.bsky.social,https://bsky.app/profile/sherryromanado.bsky.social,No
,Zoe Royer,Port Moody‚ÄîCoquitlam,British Columbia,Liberal,zoeroyer.bsky.social,https://bsky.app/profile/zoeroyer.bsky.social,No
,Simon-Pierre Savard-Tremblay,Saint-Hyacinthe—Bagot—Acton,Quebec,Bloc Qu√©b√©cois,spsavardtremblay.bsky.social,https://bsky.app/profile/spsavardtremblay.bsky.social,No
Hon.,Judy A. Sgro,Humber River‚ÄîBlack Creek,Ontario,Liberal,honjudysgro.bsky.social,https://bsky.app/profile/honjudysgro.bsky.social,No
Hon.,Maninder Sidhu,Brampton East,Ontario,Liberal,manindersidhu.bsky.social,https://bsky.app/profile/manindersidhu.bsky.social,No
Hon.,Evan Solomon,Toronto Centre,Ontario,Liberal,evansolomon.bsky.social,https://bsky.app/profile/evansolomon.bsky.social,No
,Eric St-Pierre,Honor√©-Mercier,Quebec,Liberal,ericstpierre.bsky.social,https://bsky.app/profile/ericstpierre.bsky.social,No
Hon.,Jenna Sudds,Kanata,Ontario,Liberal,jennasudds.bsky.social,https://bsky.app/profile/jennasudds.bsky.social,No
,Kristina Tesser Derksen,Milton East‚ÄîHalton Hills South,Ontario,Liberal,kristinatesser.bsky.social,https://bsky.app/profile/kristinatesser.bsky.social,No
Hon.,Joanne Thompson,St. John's East,Newfoundland and Labrador,Liberal,joannethompsonnl.bsky.social,https://bsky.app/profile/joannethompsonnl.bsky.social,No
,Ryan Turnbull,Whitby,Ontario,Liberal,turnbullwhitby.bsky.social,https://bsky.app/profile/turnbullwhitby.bsky.social,No
Hon.,Rechie Valdez,Mississauga‚ÄîStreetsville,Ontario,Liberal,rechievaldez.bsky.social,https://bsky.app/profile/rechievaldez.bsky.social,No
Hon.,Adam van Koeverden,Burlington North‚ÄîMilton West,Ontario,Liberal,avankoeverden.bsky.social,https://bsky.app/profile/avankoeverden.bsky.social,No
,Anita Vandenbeld,Ottawa West‚ÄîNepean,Ontario,Liberal,anitavandenbeld.bsky.social,https://bsky.app/profile/anitavandenbeld.bsky.social,No
,Louis Villeneuve,Brome‚ÄîMissisquoi,Quebec,Liberal,louis-villeneuve.bsky.social,https://bsky.app/profile/louis-villeneuve.bsky.social,No
,Patrick Weiler,West Vancouver‚ÄîSunshine Coast‚ÄîSea to Sky Country,British Columbia,Liberal,patrickbweiler.bsky.social,https://bsky.app/profile/patrickbweiler.bsky.social,No
,Jean Yip,Scarborough‚ÄîAgincourt,Ontario,Liberal,jeanyip3.bsky.social,https://bsky.app/profile/jeanyip3.bsky.social,No
