honorific_title,name,constituency,province_territory,political_affiliation,gender,username,profile_URL,verified
Hon.,Dominic LeBlanc,Beauséjour,New Brunswick,Liberal,Man,dleblancnb.bsky.social,https://bsky.app/profile/dleblancnb.bsky.social,No
NA,Sébastien Lemire,Abitibi—Témiscamingue,Quebec,Bloc Québécois,Man,seblemire.bsky.social,https://bsky.app/profile/seblemire.bsky.social,No
Hon.,Joël Lightbound,Louis-Hébert,Quebec,Liberal,Man,joellightbound.bsky.social,https://bsky.app/profile/joellightbound.bsky.social,No
Hon.,Wayne Long,Saint John—Kennebecasis,New Brunswick,Liberal,Man,waynelongsj.bsky.social,https://bsky.app/profile/waynelongsj.bsky.social,No
NA,Tim Louis,Kitchener—Conestoga,Ontario,Liberal,Man,timlouiskitcon.bsky.social,https://bsky.app/profile/timlouiskitcon.bsky.social,No
Hon.,Steven MacKinnon,Gatineau,Quebec,Liberal,Man,stevenmackinnon.bsky.social,https://bsky.app/profile/stevenmackinnon.bsky.social,No
NA,James Maloney,Etobicoke—Lakeshore,Ontario,Liberal,Man,maloneyj.bsky.social,https://bsky.app/profile/maloneyj.bsky.social,No
NA,Elizabeth May,Saanich—Gulf Islands,British Columbia,Green Party,Woman,elizabethemay.bsky.social,https://bsky.app/profile/elizabethemay.bsky.social,No
NA,Ron McKinnon,Coquitlam—Port Coquitlam,British Columbia,Liberal,Man,ronmckinnon.bsky.social,https://bsky.app/profile/ronmckinnon.bsky.social,No
Hon.,Jill McKnight,Delta,British Columbia,Liberal,Woman,jillmcknightdelta.bsky.social,https://bsky.app/profile/jillmcknightdelta.bsky.social,No
NA,Greg McLean,Calgary Centre,Alberta,Conservative,Man,gregmcleanyyc.bsky.social,https://bsky.app/profile/gregmcleanyyc.bsky.social,No
Hon.,Stephanie McLean,Esquimalt—Saanich—Sooke,British Columbia,Liberal,Woman,stephaniemclean.bsky.social,https://bsky.app/profile/stephaniemclean.bsky.social,No
NA,Heather McPherson,Edmonton Strathcona,Alberta,NDP,Woman,heathermcpherson.bsky.social,https://bsky.app/profile/heathermcpherson.bsky.social,No
NA,Marie-Gabrielle Ménard,Hochelaga—Rosemont-Est,Quebec,Liberal,Woman,mgmenard.bsky.social,https://bsky.app/profile/mgmenard.bsky.social,No
NA,Alexandra Mendès,Brossard—Saint-Lambert,Quebec,Liberal,Woman,alexandramendes.bsky.social,https://bsky.app/profile/alexandramendes.bsky.social,No
NA,Costas Menegakis,Aurora—Oak Ridges—Richmond Hill,Ontario,Conservative,Man,costasmenegakis.bsky.social,https://bsky.app/profile/costasmenegakis.bsky.social,No
Hon.,Marc Miller,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Quebec,Liberal,Man,marcmillermp.bsky.social,https://bsky.app/profile/marcmillermp.bsky.social,No
NA,Giovanna Mingarelli,Prescott—Russell—Cumberland,Ontario,Liberal,Woman,giovannamprc.bsky.social,https://bsky.app/profile/giovannamprc.bsky.social,No
NA,Yasir Naqvi,Ottawa Centre,Ontario,Liberal,Man,yasirnaqvicdn.bsky.social,https://bsky.app/profile/yasirnaqvicdn.bsky.social,No
NA,Chi Nguyen,Spadina—Harbourfront,Ontario,Liberal,Woman,runchinguyenrun.bsky.social,https://bsky.app/profile/runchinguyenrun.bsky.social,No
NA,Taleeb Noormohamed,Vancouver Granville,British Columbia,Liberal,Man,taleeb.bsky.social,https://bsky.app/profile/taleeb.bsky.social,No
NA,Bienvenu-Olivier Ntumba,Mont-Saint-Bruno—L'Acadie,Quebec,Liberal,Man,olivierntumba.bsky.social,https://bsky.app/profile/olivierntumba.bsky.social,No
